param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g176_phi_1,1,10,-0.8635648295416173,0,-0.6521043065067683
output,g176_Phi,1,10,0.41690665993242565,0,0.4265925823051561
output,g176_phi_2,1,10,0.5106254276648371,0,0.5239154706981131
output,g177_phi_1,1,10,0.20709554041921804,0,0.26726561976256297
output,g177_Phi,1,10,0.3530887648339482,0,0.36849142941581053
output,g177_phi_2,1,10,0.6152554665904779,0,0.6266482684740101
output,g178_phi_1,1,10,-0.36072273965802165,0,-0.14964788604172202
output,g178_Phi,1,10,0.3797586158427012,0,0.39075852873871714
output,g178_phi_2,1,10,0.42344249107526144,0,0.45371575170076717
output,g179_phi_1,1,10,-0.0012787063976087598,0,0.028652573633118503
output,g179_Phi,1,10,0.33167019053261315,0,0.3608016129678519
output,g179_phi_2,1,10,0.5498856757704129,0,0.5644530065313664
output,g180_phi_1,1,10,0.12577394985088539,0,0.14528965905414648
output,g180_Phi,1,10,0.2322335211147336,0,0.2574145587621873
output,g180_phi_2,1,10,0.6292668497588975,0,0.6332866198281859
output,g181_phi_1,1,10,-0.7717279978760005,0,-0.48614341823478546
output,g181_Phi,1,10,0.3591901991558108,0,0.36897451565238804
output,g181_phi_2,1,10,0.5232781125229127,0,0.5337085232398597
output,g182_phi_1,1,10,0.2009325358991928,0,0.229528263787672
output,g182_Phi,1,10,0.2287339083761365,0,0.2646289582612226
output,g182_phi_2,1,10,0.5408423152115802,0,0.5444525349278302
output,g183_phi_1,1,10,0.18329832107581195,0,0.20776896973992376
output,g183_Phi,1,10,0.19824458622823615,0,0.20913953605653335
output,g183_phi_2,1,10,0.5164428203091213,0,0.5267656072889625
output,g184_phi_1,1,10,0.18398121891459185,0,0.24477176149529495
output,g184_Phi,1,10,0.18982706312066194,0,0.20919319571952907
output,g184_phi_2,1,10,0.516601471526534,0,0.5254724089362258
output,g185_phi_1,1,10,-0.3534002482796266,0,-0.08628149101623764
output,g185_Phi,1,10,0.38372562644464275,0,0.3987730546088588
output,g185_phi_2,1,10,0.433321711630784,0,0.4649215404715348
output,g186_phi_1,1,10,0.46052199290020074,0,0.47863863154316677
output,g186_Phi,1,10,0.455088606040952,0,0.4619784765286782
output,g186_phi_2,1,10,0.7663607881469312,0,0.7816692250541627
output,g187_phi_1,1,10,0.2498829018636947,0,0.3050717830222926
output,g187_Phi,1,10,0.4136182416869927,0,0.42789165070887814
output,g187_phi_2,1,10,0.597344099017222,0,0.6081193607125969
output,g188_phi_1,1,10,0.2882268617375928,0,0.30339047411338865
output,g188_Phi,1,10,0.3259669637014247,0,0.34458874257871386
output,g188_phi_2,1,10,0.6539935411288391,0,0.6621342660642856
output,g189_phi_1,1,10,0.3589812256253495,0,0.42386818975324736
output,g189_Phi,1,10,0.4316692713137454,0,0.44320038194007666
output,g189_phi_2,1,10,0.7051792448736762,0,0.7380667147774692
output,g190_phi_1,1,10,0.2239888825700919,0,0.2769211320657739
output,g190_Phi,1,10,0.2660905162751797,0,0.29389266705300887
output,g190_phi_2,1,10,0.5763643890897484,0,0.591787828645595
output,g191_phi_1,1,10,0.11183357814884677,0,0.14844840352338382
output,g191_Phi,1,10,0.21122736562998218,0,0.2601906832699626
output,g191_phi_2,1,10,0.5667084733924672,0,0.5730805706525928
output,g192_phi_1,1,10,0.3309005596679337,0,0.3587341271980108
output,g192_Phi,1,10,0.32436477820229004,0,0.3334472744967503
output,g192_phi_2,1,10,0.6968716438120658,0,0.6996383033798625
output,g193_phi_1,1,10,0.1466240888240055,0,0.20924684875337374
