param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g105_phi_1,1,0,0.7980702779199121,10,-3.1819391432422592
output,g105_Phi,1,0,0.4696894991411045,10,0.46304147484322977
output,g105_phi_2,1,0,0.5236554374706319,10,0.43895350770439606
output,g106_phi_1,1,0,0.46999864221874704,10,0.4577002722181075
output,g106_Phi,1,0,0.360650205119749,10,0.3515644152041046
output,g106_phi_2,1,0,0.663625553212801,10,0.6588695922019623
output,g107_phi_1,1,0,0.15947695647423413,10,0.11664094566112908
output,g107_Phi,1,0,0.30094312808055257,10,0.2894328638507862
output,g107_phi_2,1,0,0.6348801407665262,10,0.6237143568159674
output,g108_phi_1,1,0,0.10639490313042653,10,0.07177157941675559
output,g108_Phi,1,0,0.42988141901076454,10,0.4160077404492888
output,g108_phi_2,1,0,0.5297510799423799,10,0.5188165245374103
output,g109_phi_1,1,0,0.17791147609400934,10,0.14903426716124946
output,g109_Phi,1,0,0.3935752032695875,10,0.3881900415998544
output,g109_phi_2,1,0,0.5305454587890068,10,0.5236034121365691
output,g110_phi_1,1,0,0.265572461743118,10,0.23065324717922156
output,g110_Phi,1,0,0.30000820255381305,10,0.28674829661371215
output,g110_phi_2,1,0,0.5713360868168943,10,0.5649499787197535
output,g111_phi_1,1,0,0.30339047411338865,10,0.278707883337975
output,g111_Phi,1,0,0.3847475595629287,10,0.3680822440064455
output,g111_phi_2,1,0,0.6068863150270873,10,0.6008749234755036
output,g112_phi_1,1,0,0.05610409742245294,10,0.034066678597560664
output,g112_Phi,1,0,0.3701058054303791,10,0.35804911998674743
output,g112_phi_2,1,0,0.5079907248196913,10,0.5035864213232738
output,g113_phi_1,1,0,0.4055512482823097,10,0.3950991373125706
output,g113_Phi,1,0,0.31188095303790403,10,0.2964457942063963
output,g113_phi_2,1,0,0.7189664590344449,10,0.7116638460311909
output,g114_phi_1,1,0,0.09593610218078528,10,0.046573197662005336
output,g114_Phi,1,0,0.43131550653552486,10,0.4214887577606257
output,g114_phi_2,1,0,0.5224833573730102,10,0.5132442430839225
output,g115_phi_1,1,0,0.16873312893407894,10,0.14166921696620913
output,g115_Phi,1,0,0.4007451580150048,10,0.3893787479525099
output,g115_phi_2,1,0,0.529045170765769,10,0.52329112918679
output,g116_phi_1,1,0,-0.5346171485515816,10,-1.4055963990149898
output,g116_Phi,1,0,0.4814282951145612,10,0.4693064454311679
output,g116_phi_2,1,0,0.5236294255826328,10,0.48955069775056975
output,g117_phi_1,1,0,-0.1412763725206359,10,-0.1883043735254086
output,g117_Phi,1,0,0.27021285489624264,10,0.25638095303164105
output,g117_phi_2,1,0,0.4649513172615296,10,0.449277790579156
output,g118_phi_1,1,0,0.2355284469075489,10,0.21989873904496574
output,g118_Phi,1,0,0.3085644135612388,10,0.3024175191506224
output,g118_phi_2,1,0,0.6550038979849871,10,0.6454026175704554
output,g119_phi_1,1,0,0.18853476989935905,10,0.16663729423180462
output,g119_Phi,1,0,0.2742733377584179,10,0.26681945490912556
output,g119_phi_2,1,0,0.620999618905931,10,0.6146863422820126
output,g120_phi_1,1,0,0.7439720344016456,10,0.7238987710972362
output,g120_Phi,1,0,0.4641466264595732,10,0.4495246803250288
output,g120_phi_2,1,0,0.2690223347292337,10,0.21104040573205332
output,g122_phi_1,1,0,-0.06102020647180949,10,-0.09473854961248045
output,g122_Phi,1,0,0.33847641491292246,10,0.32658161844652506
output,g122_phi_2,1,0,0.4574731347073584,10,0.4439823030074132
output,g123_phi_1,1,0,0.027431157766903583,10,-0.09875424610951777
output,g123_Phi,1,0,0.4262183798325782,10,0.41540742545013654
output,g123_phi_2,1,0,0.6180480967120927,10,0.6085046392333929
output,g125_phi_1,1,0,0.3761570577832536,10,0.3324990549181783
output,g125_Phi,1,0,0.4060459958453001,10,0.3968093725543818
output,g125_phi_2,1,0,0.5670734416002102,10,0.5587565562226132
output,g126_phi_1,1,0,0.4383524517643255,10,0.41113127093956453
output,g126_Phi,1,0,0.38840318355263515,10,0.3679333536747868
output,g126_phi_2,1,0,0.7004181308782335,10,0.6922827630145375
output,g127_phi_1,1,0,0.463161086365149,10,0.44692531124274865
output,g127_Phi,1,0,0.4324240774813541,10,0.4192120226230758
output,g127_phi_2,1,0,0.6597260952377916,10,0.6542246871561987
output,g128_phi_1,1,0,0.33571859971435486,10,0.30858575428908286
